Gene	Rationale	Types_of_recurrent_alterations	Agents_Therapy
ABL1	"Translocations predict sensitivity to TKIs like imatinib, dasatinib, nilotinib.  Secondary mutations can cause resistance"	Rearrangement; Mutation	"Imatinib, Dasatinib, Nilotinib"
AKT1	Mutations may predict sensitivity to AKT/MTOR inhibitors	Mutation	AKT/MTOR inhibitors
AKT2	Mutations may predict sensitivity to AKT/MTOR inhibitors	Mutation; Amplification	AKT/MTOR inhibitors
AKT3	Mutations may predict sensitivity to AKT/MTOR inhibitors	Rearrangement; Mutation	AKT/MTOR inhibitors
ALK	Translocations predict sensitivity to crizotinib.  Secondary mutations can cause resistance.  Amplification and activating mutations may also be sensitive to crizotinib	Rearrangement; Mutation; Amplification	Crizotinib
APC	Biallelic inactivation may predict sensitivity to inhibitors of WNT signaling or anti-TRAIL antibodies. Also prognostic/diagnostic due to germline mutations	Biallelic Inactivation	WNT inhibitors
AR	Amplification may predict resistance to androgen deprivation in prostate cancer and may predict sensitivity to MDV3100	Amplification	"Andorgen Deprivation
MDV3100"
ARAF	Activating mutations may predict sensitivity to sorafenib	Mutation	Sorafenib
ASXL1	Prognostic in MDS	Mutations	
ATM	Biallelic inactivation predict sensitivity to PARP inhibitors	Biallelic Inactivation	PARP Inhibitor
ATR	Biallelic inactivation predict sensitivity to PARP inhibitors	Biallelic Inactivation	PARP Inhibitor
AURKA	Amplifications are prognostic in colon cancer.  Also a target of Therapy	Amplification	AURKA Inhibitor
BAP1	Biallelic inactivation may predict sensitivity to HDAC inhibitors	Biallelic inactivation	HDAC Inhibitors
BCL2	Translocation is prognostic/diagnostic in some hematologic cancers and activating alterations may be sensitive to BCL2 inhibitors	Rearrangement	? BCL2 inhibitors
BRAF	Mutations predict sensitivity to RAF inhibitors. Amplification may predict resistance to MEK inhibitors.	Mutation; Amplification; Rearrangement	"Vemurafenib
MEK inhibitors"
BRCA1	Biallelic inactivation predict sensitivity to PARP inhibitors. Also prognostic/diagnostic due to germline mutations.	Biallelic Inactivation	PARP Inhibitor
BRCA2	Biallelic inactivation predict sensitivity to PARP inhibitors. Also prognostic/diagnostic due to germline mutations.	Biallelic Inactivation	PARP Inhibitor
BRD2	"Sensitivity to HDAC inhibitors, bromodomain inhibitors"	Rearrangement	"HDAC Inhibitors
Bromodomain inhibitors"
BRD3	"Sensitivity to HDAC inhibitors, bromodomain inhibitors"	Rearrangement	"HDAC Inhibitors
Bromodomain inhibitors"
BRD4	"Sensitivity to HDAC inhibitors, bromodomain inhibitors"	Rearrangement	"HDAC Inhibitors
Bromodomain inhibitors"
CCND1	Amplification may predict resistance to hormone therapy in breast cancer. Amplification may be prognostic in breast cancer.  Amplification may predict sensitivity to CDK4/6 inhibitors. Translocations are diagnostic/prognostic in some hematologic cancers.	Amplification; Rearrangement	"Hormone therapy
CDK 4/6 inhibitor"
CCND2	Amplification may predict sensitivity to CDK4/6 inhibitors.	Rearrangement	? CDK inhibitors
CCND3	Amplification may predict sensitivity to CDK4/6 inhibitors.	Rearrangement	? CDK inhibitors
CCNE1	Amplification may predict sensitivity to CDK2 inhibitors.	Amplification	CKD 2 inhibitor
CDH1	Prognostic / Diagnostic	Mutation	
CDK4	Amplification may predict sensitivity to CDK4/6 inhibitors.	Amplification; Mutation	CDK 4/6 inhibitor
CDK6	Amplification may predict sensitivity to CDK4/6 inhibitors.	Amplification; Rearrangement	CDK 4/6 inhibitor
CDKN1A	Deletion may predict sensitivty to CDK inhibitors	Biallelic Inactivation	CDK 4/6 inhibitor
CDKN1B	Deletion may predict sensitivty to CDK inhibitors	Biallelic Inactivation	CDK 4/6 inhibitor
CDKN2A	Biallelic inactivation may predict sensitivity to CDK4/6 inhibitors.	Biallelic Inactivation	CDK 4/6 inhibitor
CDKN2B	Biallelic inactivation may predict sensitivity to CDK4/6 inhibitors.	Biallelic Inactivation	CDK 4/6 inhibitor
CEBPA	Biallelic inactiavtion is an indication for transplant in AML. Sensitivity to CDK inhibitors	Biallelic Inactivation	Transplant
CREBBP	Biallelic inactivation is Prognostic / Diagnostic in leukemia	Biallelic Inactivation	CDK 4/6 inhibitor
CRKL	Amplification may result in resistance to EGFR inhibition and RAF inhibition. Amplification may predict sensitivity to SRC inhibitors.	Amplification	Vemurafenib; SRC inhibitors
CTNNB1	Possibly prognostic in colon cancer; maybe some resistance stuff in lung cancer and melanoma; possibly targetable with WNT inhibitors (see APC above) <NEED TO FILL IN>	Mutations	? WNT inhibitors
DDR2	Mutations may predict sensitivity to dasatinib (see Hammerman Cancer Discovery paper)	Mutations	Dasatinib
DNMT3A	Some mutations may be sensitive to DNA methylransferace inhibitors.  Some may be prognostic in leukemia	Mutations	DNAMT inhibitors
