Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DFCI.11.104.06	1	30503	22333509	1813	-0.00110000000000000
DFCI.11.104.06	1	22334010	52250256	2437	0.0349
DFCI.11.104.06	1	52251560	103444471	1917	0.0104
DFCI.11.104.06	1	103453298	107600467	68	-0.125
DFCI.11.104.06	1	107691463	110294406	281	0.0214
DFCI.11.104.06	1	110294817	147594551	970	0.0558
DFCI.11.104.06	1	147595086	148318882	31	-0.287
DFCI.11.104.06	1	148329081	149755815	46	0.00109999999999999
DFCI.11.104.06	1	149760175	154524661	760	0.063
DFCI.11.104.06	1	154524942	155240770	184	0.142
DFCI.11.104.06	1	155252633	155932015	143	0.0248
DFCI.11.104.06	1	155932511	155989960	10	0.3664
DFCI.11.104.06	1	156006923	160969200	661	0.0421
DFCI.11.104.06	1	160969770	161954772	182	0.1636
DFCI.11.104.06	1	161968141	183262930	997	0.0783
DFCI.11.104.06	1	183273876	185958781	150	0.1901
DFCI.11.104.06	1	185959577	196309702	213	0.0691
DFCI.11.104.06	1	196311360	237620035	2390	0.0299
DFCI.11.104.06	1	237660052	241519078	72	-0.1186
DFCI.11.104.06	1	241663892	249212564	279	0.0169000000000000
DFCI.11.104.06	10	94056	35930359	1295	-0.4444
DFCI.11.104.06	10	37419308	38407767	40	0.0451
DFCI.11.104.06	10	43090149	52596074	402	-0.4334
DFCI.11.104.06	10	52601754	69667884	262	-0.5213
DFCI.11.104.06	10	69669201	135491085	3503	-0.421
DFCI.11.104.06	11	193913	373118	44	0.2513
DFCI.11.104.06	11	373518	10024238	818	0.0882
DFCI.11.104.06	11	10050106	14990545	234	0.1609
DFCI.11.104.06	11	14991623	33050340	562	0.0515
DFCI.11.104.06	11	33053137	49195030	715	0.1275
DFCI.11.104.06	11	49196531	56058540	43	-0.0894
DFCI.11.104.06	11	56086723	60971743	320	0.1299
DFCI.11.104.06	11	60974101	61013619	19	-0.2453
DFCI.11.104.06	11	61016009	63967510	451	0.1354
DFCI.11.104.06	11	63967767	64012296	36	-0.0907
DFCI.11.104.06	11	64021966	67012929	633	0.1487
DFCI.11.104.06	11	67013587	67209335	61	0.2938
DFCI.11.104.06	11	67209561	85345325	801	0.1287
DFCI.11.104.06	11	85346824	86055765	53	-0.4641
DFCI.11.104.06	11	86086286	116656354	897	0.1031
DFCI.11.104.06	11	116656600	116657299	2	-0.7543
DFCI.11.104.06	11	116657777	134257555	1131	0.1052
DFCI.11.104.06	12	176602	493321	54	-0.1979
DFCI.11.104.06	12	495142	539904	6	-0.6167
DFCI.11.104.06	12	541122	3149427	162	-0.2005
DFCI.11.104.06	12	3149646	7301796	449	-0.1293
DFCI.11.104.06	12	7302291	8197556	86	-0.2322
DFCI.11.104.06	12	8200887	13240995	350	-0.0874
DFCI.11.104.06	12	13241845	58135856	2884	-0.1505
DFCI.11.104.06	12	58139697	62148807	73	-0.4072
DFCI.11.104.06	12	62261208	133779461	3296	-0.1564
DFCI.11.104.06	13	19748301	115091758	2285	-0.2059
DFCI.11.104.06	14	19378576	39565324	1161	-0.4543
DFCI.11.104.06	14	39583681	39594242	3	-1.2792
DFCI.11.104.06	14	39597554	42357215	34	-0.4771
DFCI.11.104.06	14	42361167	44976192	3	-0.7813
DFCI.11.104.06	14	45370164	45433672	9	-1.4597
DFCI.11.104.06	14	45465107	45609914	27	-0.9983
DFCI.11.104.06	14	45618200	107283096	2843	-0.4276
DFCI.11.104.06	15	20170225	28366577	241	0.0516
DFCI.11.104.06	15	28369382	41857341	713	0.1406
DFCI.11.104.06	15	41859737	41983876	15	-0.1648
DFCI.11.104.06	15	41989221	43869148	384	0.1534
DFCI.11.104.06	15	43869439	44912603	156	0.0632
DFCI.11.104.06	15	44914134	52643680	562	0.1567
DFCI.11.104.06	15	52646213	56436681	114	0.0817
DFCI.11.104.06	15	56657870	102500799	2290	0.1795
DFCI.11.104.06	16	97559	1262138	204	0.0556
DFCI.11.104.06	16	1270994	1291002	8	-0.2754
DFCI.11.104.06	16	1291327	30037144	2076	0.0963
DFCI.11.104.06	16	30038166	30204397	42	0.3103
DFCI.11.104.06	16	30204778	31927804	304	0.1322
DFCI.11.104.06	16	32685885	69988478	1455	-0.473
DFCI.11.104.06	16	69992944	70218897	32	-0.164
DFCI.11.104.06	16	70286811	70843912	108	-0.4544
DFCI.11.104.06	16	70861316	71163728	60	-0.2538
DFCI.11.104.06	16	71171257	72135094	96	-0.4779
DFCI.11.104.06	16	72137112	74486031	63	-0.3385
DFCI.11.104.06	16	74487234	90141882	695	-0.4803
DFCI.11.104.06	17	69529	707048	38	0.3374
DFCI.11.104.06	17	722787	1747294	131	-0.8072
DFCI.11.104.06	17	1756485	4053327	265	0.3211
DFCI.11.104.06	17	4058156	10728962	1310	-0.7689
DFCI.11.104.06	17	11511644	14683488	118	0.3024
DFCI.11.104.06	17	15134399	15406548	11	-0.8141
DFCI.11.104.06	17	15449232	18387282	323	0.3647
DFCI.11.104.06	17	18389451	18395861	6	-0.1048
DFCI.11.104.06	17	18396175	18891729	53	0.3635
DFCI.11.104.06	17	18907356	18923746	6	-0.6596
DFCI.11.104.06	17	18939395	19093558	7	-1.1128
DFCI.11.104.06	17	19187029	20163609	90	-0.5787
DFCI.11.104.06	17	20209397	20799335	13	-0.1411
DFCI.11.104.06	17	20906388	25639397	35	-0.5046
DFCI.11.104.06	17	25877734	36104877	997	-0.8123
DFCI.11.104.06	17	36285618	36455436	27	-0.4876
DFCI.11.104.06	17	36462600	40025040	580	-0.8423
DFCI.11.104.06	17	40025380	43555515	665	-0.6115
DFCI.11.104.06	17	43898808	43924329	8	0.2434
DFCI.11.104.06	17	44055808	44172069	19	-0.9042
DFCI.11.104.06	17	44249511	44707818	31	-0.1792
DFCI.11.104.06	17	44714910	79634894	2541	0.3413
DFCI.11.104.06	17	79637485	81052322	193	-0.8532
DFCI.11.104.06	18	163455	33795942	988	-0.1496
DFCI.11.104.06	18	33800182	43221310	74	-0.2809
DFCI.11.104.06	18	43224127	77960817	862	-0.148
DFCI.11.104.06	19	72110	873584	73	-0.1328
DFCI.11.104.06	19	875456	1272052	74	0.0572
DFCI.11.104.06	19	1272444	6007179	497	-0.104
DFCI.11.104.06	19	6013118	10084487	535	0.0314
DFCI.11.104.06	19	10084650	13885523	638	-0.0774
DFCI.11.104.06	19	13889014	16664722	387	0.0825
DFCI.11.104.06	19	16666210	17752365	170	-0.0435
DFCI.11.104.06	19	17759459	22939185	389	0.1153
DFCI.11.104.06	19	22939580	22942484	4	-0.4154
DFCI.11.104.06	19	22952126	30099618	16	0.1148
DFCI.11.104.06	19	30102848	38991632	673	-0.0998
DFCI.11.104.06	19	38993369	38995002	2	-0.9865
DFCI.11.104.06	19	38995553	50512644	1718	-0.084
DFCI.11.104.06	19	50519421	51506518	118	-0.1922
DFCI.11.104.06	19	51507098	52217357	104	-0.0825
DFCI.11.104.06	19	52219643	54318244	169	0.2868
DFCI.11.104.06	19	54327430	54406409	10	0.6161
DFCI.11.104.06	19	54410151	54682660	49	0.3227
DFCI.11.104.06	19	54687565	54780312	33	0.49
DFCI.11.104.06	19	54780785	58757795	496	0.2814
DFCI.11.104.06	19	58758162	59082758	67	0.447
DFCI.11.104.06	2	41629	18766418	446	0.1902
DFCI.11.104.06	2	18767659	20166672	22	0.4223
DFCI.11.104.06	2	20173471	24535246	137	0.1956
DFCI.11.104.06	2	24538095	24920669	7	0.5854
DFCI.11.104.06	2	24928104	29041974	544	0.1638
DFCI.11.104.06	2	29052187	39519969	472	0.0814
DFCI.11.104.06	2	39535148	88384013	1612	0.1384
DFCI.11.104.06	2	88387596	99999386	447	0.0513
DFCI.11.104.06	2	100006314	111325107	405	0.1222
DFCI.11.104.06	2	111325654	136873511	791	0.0633
DFCI.11.104.06	2	137814800	137928508	4	3.3579
DFCI.11.104.06	2	137988805	160205346	463	0.0385
DFCI.11.104.06	2	160205793	178285088	849	0.0937
DFCI.11.104.06	2	178301614	178326748	5	0.6142
DFCI.11.104.06	2	178333254	210595123	1511	0.1028
DFCI.11.104.06	2	210640771	216237100	197	-0.0152
DFCI.11.104.06	2	216238136	220149711	408	0.1312
DFCI.11.104.06	2	220155614	231155281	418	0.00309999999999999
DFCI.11.104.06	2	231157505	238636578	398	0.0832
DFCI.11.104.06	2	238657044	238786006	8	3.3273
DFCI.11.104.06	2	238820427	242815428	264	0.0194
DFCI.11.104.06	20	68410	60885369	2838	0.4148
DFCI.11.104.06	20	60885630	60912996	20	0.1247
DFCI.11.104.06	20	60922086	62904955	238	0.3989
DFCI.11.104.06	21	10862667	10951429	15	0.0129
DFCI.11.104.06	21	10952965	15013889	15	0.3254
DFCI.11.104.06	21	15052330	19666971	62	0.696
DFCI.11.104.06	21	19685396	22707987	19	0.4181
DFCI.11.104.06	21	22746335	34166734	278	0.6468
DFCI.11.104.06	21	34400144	34837718	30	0.8293
DFCI.11.104.06	21	34839431	40250840	255	0.6329
DFCI.11.104.06	21	40547592	41741174	79	-0.2324
DFCI.11.104.06	21	42064884	43716504	111	0.62
DFCI.11.104.06	21	43732381	44592392	82	-0.2175
DFCI.11.104.06	21	44836999	45053304	8	0.6808
DFCI.11.104.06	21	45064275	45220764	27	-0.2972
DFCI.11.104.06	21	45379742	45941997	91	0.6064
DFCI.11.104.06	21	45945724	46900774	63	0.7489
DFCI.11.104.06	21	46907425	48084241	135	0.6038
DFCI.11.104.06	22	16282318	21237859	315	-0.5145
DFCI.11.104.06	22	21242126	21386103	33	3.3003
DFCI.11.104.06	22	21801034	51237572	2111	-0.4736
DFCI.11.104.06	3	367749	3189840	72	-0.3083
DFCI.11.104.06	3	3192731	172478055	6594	-0.1563
DFCI.11.104.06	3	172479475	197765540	1087	-0.2101
DFCI.11.104.06	4	53385	57830694	1615	-0.1482
DFCI.11.104.06	4	57832904	57899479	29	0.128
DFCI.11.104.06	4	62449412	183664572	3101	-0.1696
DFCI.11.104.06	4	183673185	187088418	177	-0.0764
DFCI.11.104.06	4	187093143	191013434	86	-0.2113
DFCI.11.104.06	5	143373	2755157	174	0.1201
DFCI.11.104.06	5	3600376	68878258	1609	-0.4733
DFCI.11.104.06	5	68881526	70757755	59	-0.3009
DFCI.11.104.06	5	70762050	176733179	3607	-0.4647
DFCI.11.104.06	5	176761406	176932113	52	-0.2303
DFCI.11.104.06	5	176936660	180795228	292	-0.4692
DFCI.11.104.06	6	304663	30314336	972	-0.1665
DFCI.11.104.06	6	30314589	30860942	119	-0.0523
DFCI.11.104.06	6	30862450	31545316	105	-0.1615
DFCI.11.104.06	6	31548942	31827724	150	-0.0326
DFCI.11.104.06	6	31828043	33219415	441	-0.1734
DFCI.11.104.06	6	33219750	33273166	48	-0.00970000000000001
DFCI.11.104.06	6	33281256	70866125	1699	-0.1946
DFCI.11.104.06	6	70866263	161016569	2947	-0.1349
DFCI.11.104.06	6	161020693	161085248	20	-0.4705
DFCI.11.104.06	6	161123387	168445678	173	-0.1165
DFCI.11.104.06	6	168461739	168947851	9	-0.495
DFCI.11.104.06	6	168949885	170892837	77	-0.1475
DFCI.11.104.06	7	195732	23651174	720	0.1305
