Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DFCI.11.104.03	1	30503	9775829	595	-0.0969
DFCI.11.104.03	1	9777168	9932124	33	0.1508
DFCI.11.104.03	1	9990517	19440566	840	-0.1238
DFCI.11.104.03	1	19441445	51771748	2794	-0.0269
DFCI.11.104.03	1	51774997	53723138	188	-0.1091
DFCI.11.104.03	1	53724145	68616041	645	-0.3584
DFCI.11.104.03	1	68619338	78183734	228	-0.466
DFCI.11.104.03	1	78187883	101705691	874	-0.3497
DFCI.11.104.03	1	102270473	104160232	53	-0.5798
DFCI.11.104.03	1	104160724	104168370	9	-0.2196
DFCI.11.104.03	1	104199122	107600467	31	-0.0088
DFCI.11.104.03	1	107691463	110018329	210	-0.3648
DFCI.11.104.03	1	110019601	112045978	227	-0.2394
DFCI.11.104.03	1	112106576	120548213	542	-0.3348
DFCI.11.104.03	1	120572612	145075060	56	0.0344
DFCI.11.104.03	1	145075864	145414880	10	0.1668
DFCI.11.104.03	1	145415840	145456725	10	0.9318
DFCI.11.104.03	1	145457311	145763625	92	0.3079
DFCI.11.104.03	1	145765227	146673088	46	0.1126
DFCI.11.104.03	1	146680615	147441197	44	0.3352
DFCI.11.104.03	1	147458528	148756686	95	0.0967
DFCI.11.104.03	1	149754332	149763075	6	0.4296
DFCI.11.104.03	1	149783880	149872028	12	0.9126
DFCI.11.104.03	1	149877593	149903320	16	0.5583
DFCI.11.104.03	1	149904224	150471512	85	0.3196
DFCI.11.104.03	1	150471771	150485290	13	0.7051
DFCI.11.104.03	1	150485945	150532674	13	0.4255
DFCI.11.104.03	1	150549969	150598286	4	1.1029
DFCI.11.104.03	1	150599004	153724886	406	0.3892
DFCI.11.104.03	1	153727217	154026885	91	0.2739
DFCI.11.104.03	1	154029425	154042943	7	-0.181
DFCI.11.104.03	1	154062072	154522947	111	0.3121
DFCI.11.104.03	1	154523482	154561940	20	0.6541
DFCI.11.104.03	1	154562406	156530815	449	0.328
