Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DFCI.11.104.02	1	30503	2529741	249	0.03925
DFCI.11.104.02	1	2530231	9658685	342	-0.17435
DFCI.11.104.02	1	9661514	9793606	23	0.18935
DFCI.11.104.02	1	9794202	17395774	732	-0.15755
DFCI.11.104.02	1	17396713	19199453	95	-0.32125
DFCI.11.104.02	1	19201077	25573456	625	-0.12985
DFCI.11.104.02	1	25599188	25629952	6	-0.68485
DFCI.11.104.02	1	25633222	26301143	58	-0.14205
DFCI.11.104.02	1	26308970	26392933	20	-0.45775
DFCI.11.104.02	1	26393987	27623649	143	-0.09055
DFCI.11.104.02	1	27624604	27691405	31	0.14185
DFCI.11.104.02	1	27695970	29475740	145	-0.13615
DFCI.11.104.02	1	29476706	38040426	671	-0.21665
DFCI.11.104.02	1	38041302	39321581	87	-0.40925
DFCI.11.104.02	1	39322756	62905710	1563	-0.20315
DFCI.11.104.02	1	62907281	89427830	870	-0.11445
DFCI.11.104.02	1	89430663	89733211	63	0.10205
DFCI.11.104.02	1	89734541	104168370	539	-0.07075
DFCI.11.104.02	1	104199122	107979421	37	0.06185
DFCI.11.104.02	1	108116822	109302709	49	-0.23515
DFCI.11.104.02	1	109315443	109840881	132	-0.04735
DFCI.11.104.02	1	109849615	110141589	44	-0.20595
DFCI.11.104.02	1	110146168	110173030	21	0.21475
DFCI.11.104.02	1	110199049	119467442	648	-0.11985
DFCI.11.104.02	1	119576013	150485050	561	-0.05465
DFCI.11.104.02	1	150485290	150600070	20	0.28545
DFCI.11.104.02	1	150601948	154229912	556	-0.05755
DFCI.11.104.02	1	154231508	156027860	413	0.03405
DFCI.11.104.02	1	156028164	156206276	31	-0.15935
DFCI.11.104.02	1	156209394	156228956	12	0.31005
DFCI.11.104.02	1	156230419	167871294	1004	-0.05945
DFCI.11.104.02	1	167873231	174979217	369	0.04085
DFCI.11.104.02	1	174983989	177937116	106	-0.03415
DFCI.11.104.02	1	178252828	186283160	558	0.18445
DFCI.11.104.02	1	186283858	186648572	55	0.37865
DFCI.11.104.02	1	186823521	201970618	442	0.21405
DFCI.11.104.02	1	201970897	202104930	16	0.57435
DFCI.11.104.02	1	202107578	215956279	943	0.22795
DFCI.11.104.02	1	215960218	216592023	48	-0.11755
DFCI.11.104.02	1	216595680	227288942	407	0.01655
DFCI.11.104.02	1	227300125	249212564	949	-0.11685
DFCI.11.104.02	10	94056	5006085	119	-0.05885
DFCI.11.104.02	10	5008275	5810349	70	0.19425
DFCI.11.104.02	10	5827238	75006588	2230	-0.01055
DFCI.11.104.02	10	75010751	82330074	369	-0.14555
DFCI.11.104.02	10	82331336	82348535	2	-1.21795
DFCI.11.104.02	10	82369309	88635844	97	-0.21255
DFCI.11.104.02	10	88649983	91498855	173	-0.07305
DFCI.11.104.02	10	91503686	93011199	31	-0.29245
DFCI.11.104.02	10	93024279	94818114	130	-0.03245
DFCI.11.104.02	10	94822754	99116955	384	-0.16985
DFCI.11.104.02	10	99118378	99145016	14	0.16065
DFCI.11.104.02	10	99148138	103785007	432	-0.22485
DFCI.11.104.02	10	103789504	103870903	13	0.12035
DFCI.11.104.02	10	103871059	104142095	59	-0.17945
DFCI.11.104.02	10	104156093	104465248	64	0.06485
DFCI.11.104.02	10	104486556	105796392	135	-0.09435
DFCI.11.104.02	10	105797533	105926478	40	-0.33535
DFCI.11.104.02	10	105927497	112361938	129	-0.16345
DFCI.11.104.02	10	112362425	113920628	26	0.08825
DFCI.11.104.02	10	113923576	115355488	70	-0.20015
DFCI.11.104.02	10	115356945	115423643	33	-0.41075
DFCI.11.104.02	10	115457364	124358613	485	-0.15465
DFCI.11.104.02	10	124359609	124370763	10	0.40105
DFCI.11.104.02	10	124376776	125426593	54	-0.12975
DFCI.11.104.02	10	125447678	135352470	352	-0.26795
DFCI.11.104.02	10	135367834	135491085	15	0.05245
DFCI.11.104.02	11	193913	216720	12	0.08575
DFCI.11.104.02	11	219043	248857	9	-0.29735
DFCI.11.104.02	11	249059	284402	8	0.05925
DFCI.11.104.02	11	291115	294751	9	0.54085
DFCI.11.104.02	11	298715	640605	71	0.17165
DFCI.11.104.02	11	654053	884171	49	-0.01245
DFCI.11.104.02	11	902332	1774902	79	-0.26045
DFCI.11.104.02	11	1775133	3392935	103	-0.14355
DFCI.11.104.02	11	3660025	8013400	356	-0.28045
DFCI.11.104.02	11	8014573	17333669	490	-0.15565
DFCI.11.104.02	11	17409640	22387237	289	-0.28295
DFCI.11.104.02	11	22391736	55371851	931	-0.00025
DFCI.11.104.02	11	55406774	55419317	2	-0.99025
DFCI.11.104.02	11	55433574	57094365	55	-0.00395
DFCI.11.104.02	11	57094990	57185362	30	-0.20885
DFCI.11.104.02	11	57193145	61036492	289	-0.00685
DFCI.11.104.02	11	61040790	61079369	17	-0.30245
DFCI.11.104.02	11	61079558	61099165	13	-0.07605
DFCI.11.104.02	11	61105604	62407205	202	0.08025
DFCI.11.104.02	11	62417473	62483081	24	0.37695
DFCI.11.104.02	11	62484663	63987489	205	0.03175
DFCI.11.104.02	11	63987800	64129023	76	0.29625
DFCI.11.104.02	11	64129476	64360356	16	0.03725
DFCI.11.104.02	11	64361033	64507637	26	-0.22215
DFCI.11.104.02	11	64508553	64566953	35	0.05505
